timestamp,MaxStepX,MaxStepY,MaxStepTheta,StepHeight,Frequency,Walking,FSR_Left,FSR_Right,FSR_Total,AccX,AccY,AccZ,GyroX,GyroY,AngleX,AngleY
2025-09-01 21:25:36,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,1.5686559677124023,1.387683629989624,2.9563395977020264,,,,,,-0.011696640402078629,0.24812108278274536
2025-09-01 21:25:38,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,2.1556055545806885,0.025931708514690399,2.1815372630953789,,,,,,0.049279388040304184,0.10795385390520096
2025-09-01 21:25:39,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,2.9945969581604004,0.0055316966027021408,3.0001286547631025,,,,,,-0.0057523888535797596,0.058674637228250504
2025-09-01 21:25:40,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,1.5034445524215698,0.40280270576477051,1.9062472581863403,,,,,,-0.057524029165506363,0.10948783904314041
2025-09-01 21:25:41,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,1.6783642768859863,0.55999588966369629,2.2383601665496826,,,,,,-0.065385647118091583,0.12732011079788208
2025-09-01 21:25:42,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,0.004394585732370615,3.2404348850250244,3.244829470757395,,,,,,0.017640765756368637,0.1148565486073494
2025-09-01 21:25:44,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,0.0037925555370748043,2.5297186374664307,2.5335111930035055,,,,,,-0.022050682455301285,0.090312786400318146
2025-09-01 21:25:45,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,1.2278001308441162,1.5735200643539429,2.8013201951980591,,,,,,0.012272056192159653,0.0325968898832798
2025-09-01 21:25:46,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,0.82055181264877319,0.96222096681594849,1.7827727794647217,,,,,,0.046786483377218246,0.071521587669849396
2025-09-01 21:25:47,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,1.5547358989715576,0.015206767246127129,1.5699426662176847,,,,,,0.026461299508810043,0.074589557945728302
2025-09-01 21:25:48,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,4.4956469535827637,0.0063915015198290348,4.5020384551025927,,,,,,0.089929752051830292,0.10085899382829666
2025-09-01 21:25:49,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,0.54918599128723145,0.41247338056564331,0.96165937185287476,,,,,,-0.048320118337869644,0.11600715667009354
2025-09-01 21:25:51,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,2.4909436702728271,0.012823101133108139,2.5037667714059353,,,,,,-0.0542643703520298,0.043143097311258316
2025-09-01 21:25:52,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,0.0044349301606416702,2.8352668285369873,2.839701758697629,,,,,,-0.010737720876932144,0.1409342885017395
2025-09-01 21:25:53,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,1.1693128347396851,0.12314600497484207,1.2924588397145271,,,,,,-0.07823307067155838,0.1236770823597908
2025-09-01 21:25:54,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,0.004677564837038517,3.9236083030700684,3.9282858679071069,,,,,,0.11504857987165451,0.10718662291765213
2025-09-01 21:25:55,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,0.013166462071239948,2.6208341121673584,2.6340005742385983,,,,,,0.033747848123311996,0.094531364738941193
2025-09-01 21:25:56,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,0.0033548134379088879,2.3727688789367676,2.3761236923746765,,,,,,0.063085250556468964,0.069987602531909943
2025-09-01 21:25:58,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,0.091202430427074432,3.0397238731384277,3.1309263035655022,,,,,,0.013806041330099106,0.076698608696460724
2025-09-01 21:25:59,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,2.6597118377685547,0.0051682456396520138,2.6648800834082067,,,,,,-0.029528919607400894,0.0059440773911774158
2025-09-01 21:26:00,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,2.4811034202575684,0.028216784819960594,2.509320205077529,,,,,,-0.019941631704568863,0.054072681814432144
2025-09-01 21:26:01,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,2.0895276069641113,0.29247504472732544,2.3820026516914368,,,,,,-0.058674637228250504,0.071713276207447052
2025-09-01 21:26:02,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,1.9672030210494995,0.22322851419448853,2.190431535243988,,,,,,-0.072097130119800568,0.072288818657398224
2025-09-01 21:26:04,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,0.0037526360247284174,2.7289209365844727,2.7326735726092011,,,,,,0.0598255954682827,0.045060459524393082
2025-09-01 21:26:05,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,0.025191091001033783,2.7129909992218018,2.7381820902228355,,,,,,0.034706290811300278,0.04563552513718605
2025-09-01 21:26:06,0.040000000000000001,0.14000000000000001,0.34899999999999998,0.02,1.0,1,0.19357039034366608,1.0750360488891602,1.2686064392328262,,,,,,-0.054072681814432144,0.099516697227954865
