accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,angle_x,angle_y,lfoot_fl,lfoot_fr,lfoot_rl,lfoot_rr,rfoot_fl,rfoot_fr,rfoot_rl,rfoot_rr,vx,vy,wz,vtotal,StepHeight,MaxStepX,MaxStepY,MaxStepTheta,Frequency,timestamp
1.4375,0.6875,-65.25,-1.2874603271484375,15.068055152893066,-0.61988836526870728,-0.0028761068824678659,-0.012655433267354965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481828.8375051
1.4375,0.6875,-65.25,-1.2874603271484375,15.068055152893066,-0.61988836526870728,-0.0028761068824678659,-0.012655433267354965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481828.9437881
4.375,1.0,-65.375,-0.95367437601089478,-9.250640869140625,1.3828278779983521,-0.005368534941226244,0.034514252096414566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481829.05129
4.375,1.0,-65.375,-0.95367437601089478,-9.250640869140625,1.3828278779983521,-0.005368534941226244,0.034514252096414566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481829.1572931
4.375,1.0,-65.375,-0.95367437601089478,-9.250640869140625,1.3828278779983521,-0.005368534941226244,0.034514252096414566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481829.2591119
4.625,1.125,-65.5,-1.1920930147171021,-2.5272371768951416,0.047683719545602798,-0.0047934693284332752,0.029145542532205582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481829.3592501
4.625,1.125,-65.5,-1.1920930147171021,-2.5272371768951416,0.047683719545602798,-0.0047934693284332752,0.029145542532205582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481829.4561131
4.625,1.125,-65.5,-1.1920930147171021,-2.5272371768951416,0.047683719545602798,-0.0047934693284332752,0.029145542532205582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481829.5677719
4.625,1.125,-65.25,0.61988836526870728,-8.3446502685546875,-0.33378604054450989,-0.0036428610328584909,0.025118652731180191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481829.672765
4.875,0.75,-65.25,0.61988836526870728,-8.3446502685546875,-0.33378604054450989,-0.0036428610328584909,0.025118652731180191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481829.775934
4.875,0.75,-65.25,0.61988836526870728,-8.3446502685546875,-0.33378604054450989,-0.0036428610328584909,0.025118652731180191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481829.877816
4.875,0.75,-65.25,0.61988836526870728,-8.3446502685546875,-0.33378604054450989,-0.0036428610328584909,0.025118652731180191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481830.005054
3.0625,0.6875,-65.375,-0.42915347218513489,2.4795534610748291,0.76293951272964478,-0.0030677954200655222,0.0055602234788239002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481830.0831521
3.0625,0.6875,-65.375,-0.42915347218513489,2.4795534610748291,0.76293951272964478,-0.0030677954200655222,0.0055602234788239002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481830.1952651
3.0625,0.6875,-65.375,-0.42915347218513489,2.4795534610748291,0.76293951272964478,-0.0030677954200655222,0.0055602234788239002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481830.329638
3.0,0.25,-65.5625,0.047683719545602798,-1.3828278779983521,0.42915347218513489,-0.0032594839576631784,0.0072863739915192127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481830.404814
