timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,angle_x,angle_y,lfoot_fl,lfoot_fr,lfoot_rl,lfoot_rr,rfoot_fl,rfoot_fr,rfoot_rl,rfoot_rr,vx,vy,wz,vtotal,StepHeight,MaxStepX,MaxStepY,MaxStepTheta,Frequency,stable
21:14:27.920,1.0250684022903442,0.086220704019069672,-9.9920215606689453,0.0,0.001065264455974102,0.00079894834198057652,-0.0067108315415680408,0.066152878105640411,0.11026299744844437,0.0,1.3328750133514404,0.13684834539890289,0.008052527904510498,0.36032223701477051,0.47096702456474304,0.80740129947662354,0.0,0.0,0.0,0.0,0.024941748380661009,0.039848464727401736,0.19937031745910644,0.30006647109985352,0.79831112921237946,1
21:14:27.961,1.0250684022903442,0.086220704019069672,-9.9920215606689453,0.0,0.001065264455974102,0.00079894834198057652,-0.0067108315415680408,0.066152878105640411,0.11026299744844437,0.0,1.3328750133514404,0.13684834539890289,0.008052527904510498,0.36032223701477051,0.47096702456474304,0.80740129947662354,0.0,0.0,0.0,0.0,0.024941748380661009,0.039848464727401736,0.19937031745910644,0.30006647109985352,0.79831112921237946,1
21:14:28.017,1.0250684022903442,0.086220704019069672,-9.9920215606689453,0.0,0.001065264455974102,0.00079894834198057652,-0.0067108315415680408,0.066152878105640411,0.11026299744844437,0.0,1.3328750133514404,0.13684834539890289,0.008052527904510498,0.36032223701477051,0.47096702456474304,0.80740129947662354,0.0,0.0,0.0,0.0,0.024941748380661009,0.039848464727401736,0.19937031745910644,0.30006647109985352,0.79831112921237946,1
21:14:28.102,1.0250684022903442,0.086220704019069672,-9.9920215606689453,0.0,0.001065264455974102,0.00079894834198057652,-0.0067108315415680408,0.066152878105640411,0.11026299744844437,0.0,1.3328750133514404,0.13684834539890289,0.008052527904510498,0.36032223701477051,0.47096702456474304,0.80740129947662354,0.0,0.0,0.0,0.0,0.024941748380661009,0.039848464727401736,0.19937031745910644,0.30006647109985352,0.79831112921237946,1
21:14:28.124,0.68976563215255737,-0.086220704019069672,-10.039922714233398,-0.001065264455974102,0.018642127513885498,-0.016245283186435699,-0.0061357659287750721,0.066536255180835724,0.1179969310760498,0.0,1.3328750133514404,0.12375857681035995,0.0054712314158678055,0.36692985892295837,0.47441691160202026,0.77771824598312378,0.0,0.0,0.0,0.0,0.024941748380661009,0.039848464727401736,0.19937031745910644,0.30006647109985352,0.79831112921237946,1
21:14:28.174,0.68976563215255737,-0.086220704019069672,-10.039922714233398,-0.001065264455974102,0.018642127513885498,-0.016245283186435699,-0.0061357659287750721,0.066536255180835724,0.1179969310760498,0.0,1.3328750133514404,0.12375857681035995,0.0054712314158678055,0.36692985892295837,0.47441691160202026,0.77771824598312378,0.0,0.0,0.0,0.0,0.024941748380661009,0.039848464727401736,0.19937031745910644,0.30006647109985352,0.79831112921237946,1
21:14:28.222,0.68976563215255737,-0.086220704019069672,-10.039922714233398,-0.001065264455974102,0.018642127513885498,-0.016245283186435699,-0.0061357659287750721,0.066536255180835724,0.1179969310760498,0.0,1.3328750133514404,0.12375857681035995,0.0054712314158678055,0.36692985892295837,0.47441691160202026,0.77771824598312378,0.0,0.0,0.0,0.0,0.024941748380661009,0.039848464727401736,0.19937031745910644,0.30006647109985352,0.79831112921237946,1
21:14:28.277,0.68976563215255737,-0.086220704019069672,-10.039922714233398,-0.001065264455974102,0.018642127513885498,-0.016245283186435699,-0.0061357659287750721,0.066536255180835724,0.1179969310760498,0.0,1.3328750133514404,0.12375857681035995,0.0054712314158678055,0.36692985892295837,0.47441691160202026,0.77771824598312378,0.0,0.0,0.0,0.0,0.024941748380661009,0.039848464727401736,0.19937031745910644,0.30006647109985352,0.79831112921237946,1
21:14:28.320,0.68976563215255737,-0.086220704019069672,-10.039922714233398,-0.001065264455974102,0.018642127513885498,-0.016245283186435699,-0.0061357659287750721,0.066536255180835724,0.1179969310760498,0.0,1.3328750133514404,0.12375857681035995,0.0054712314158678055,0.36692985892295837,0.47441691160202026,0.77771824598312378,0.0,0.0,0.0,0.0,0.024941748380661009,0.039848464727401736,0.19937031745910644,0.30006647109985352,0.79831112921237946,1
21:14:28.373,0.68976563215255737,-0.086220704019069672,-10.039922714233398,-0.001065264455974102,0.018642127513885498,-0.016245283186435699,-0.0061357659287750721,0.066536255180835724,0.1179969310760498,0.0,1.3328750133514404,0.12375857681035995,0.0054712314158678055,0.36692985892295837,0.47441691160202026,0.77771824598312378,0.0,0.0,0.0,0.0,0.024941748380661009,0.039848464727401736,0.19937031745910644,0.30006647109985352,0.79831112921237946,1
21:14:28.450,0.68976563215255737,-0.086220704019069672,-10.039922714233398,-0.001065264455974102,0.21145498752593994,-0.016245283186435699,-0.0061357659287750721,0.082451172173023224,0.1179969310760498,0.0,1.3328750133514404,1.0706346035003662,0.050626672804355621,0.36692985892295837,1.6480776071548462,0.77771824598312378,0.0,0.0,0.0,0.0,0.024941748380661009,0.039848464727401736,0.19937031745910644,0.30006647109985352,0.79831112921237946,1
21:14:28.478,1.0921289920806885,0.21076172590255737,-10.116562843322754,-0.040746364742517471,0.21145498752593994,0.15819177031517029,-0.010546032339334488,0.082451172173023224,0.0,0.12855702638626099,0.0032755627762526274,1.0706346035003662,0.050626672804355621,0.0,1.6480776071548462,0.0077129518613219261,0.0,0.0,0.0,0.0,0.024941748380661009,0.039848464727401736,0.19937031745910644,0.30006647109985352,0.79831112921237946,1
